SPRING SEMESTER 2014|||||||||||
|||||||||||
Section Name|Min Cred|Max Cred|Short Title|Faculty first name|Faculty Last Names (all faculty)|Building|Room|Start Time|End Time|Days|7 Wks
EDUC-265-A|2||Double Reeds Methods|Laura|Medisky|JENS|SPER|11:00AM|11:40AM|TR|
EDUC-270-A|2||String Methods|Eric|Kutz,Kromholz,Erdahl|JENS|ORCH|01:30PM|02:30PM|MWF|
EDUC-275-A|2||Flute, Clarinet and Saxophone|Michael|Chesher,Scott|JENS|ORCH|11:00AM|12:00PM|MWF|
EDUC-278-A|2||Content Area Read, Secondar|Douglas|Knick|LARS|120|12:45PM|02:15PM|R|
EDUC-295-A|1|4|Directed Study|Jeannette|Pillsbury|ARR|ARR||||
EDUC-320-A|4||Introduction to Reading|Barbara|Bohach|PREU|120|11:00AM|12:30PM|TR|
EDUC-323-A|4||Teach Methods Eng Lang Learn|Deborah|Norland|PREU|CURR|11:00AM|12:30PM|TR|
EDUC-324-A|2||Assessment Eng Lang Learn|Deborah|Norland|PREU|CURR|08:00AM|09:30AM|TR|Second 7 weeks
EDUC-328-A|2||Social Studies Methods|Barbara|Bohach|KORE|216|01:30PM|02:30PM|MF|
||||||ARR|ARR||||
EDUC-328-B|2||Social Studies Methods|Barbara|Bohach|KORE|216|01:30PM|02:30PM|WF|
||||||ARR|ARR||||
EDUC-329-A|2||Science Methods|Birgitta|Meade|VALD|379|01:30PM|02:30PM|WF|
EDUC-329-B|2||Science Methods|Birgitta|Meade|VALD|379|01:30PM|02:30PM|MF|
EDUC-331-A|2||Early Childhood Educ II|Jodi|Meyer-Mork|KORE|117|02:30PM|04:00PM|R|
EDUC-333-A|4||Middle School Methods|Birgitta|Meade|ARR|ARR|08:00AM|09:30AM|TR|
EDUC-344-A|4||Method/Strategy LD & Behavior|Odette|Bruneau|PREU|CURR|12:15PM|01:15PM|MWF|
EDUC-347-A|2||Assesment in Spec & Remedial|Odette|Bruneau|KORE|216|02:30PM|04:00PM|T|
EDUC-352-A|4||Adv Mid/HS Art Methods (5-12)|Lea|Lovelace|CART|215|06:00PM|09:00PM|M|
EDUC-361-A|2||Clinical Exp. in Mus Educ|Billy|Fordice|ARR|ARR||||
EDUC-367-A|2||Adv Teach Meth II-Eng|Kristin|Peterson|KORE|216|05:30PM|07:00PM|M|
EDUC-367-A|2||Adv Teach Meth II-Math|Joyce|Becker|OLIN|108|06:30PM|08:00PM|M|
EDUC-367-A|2||Adv Teach Meth II:Science|Birgitta|Meade|VALD|379|06:30PM|08:00PM|M|
EDUC-367-A|2||Adv Teach Meth II:Wrld Lang|Margaret|Betteridge|ARR|ARR|06:30PM|08:00PM|M|
EDUC-367-A|2||Adv Teach Meth II-Soc St|Douglas|Knick|KORE|217|06:30PM|08:00PM|M|
EDUC-376-A|2||Adv Literacy:Assess/Inst Des|Jodi|Meyer-Mork|KORE|216|08:00AM|09:30AM|R|
EDUC-378-A|1||Teach Read Cont Area: Pract|Deborah|Norland|ARR|ARR||||
EDUC-378-A|2||Content Area Read: Elem/Midl|Deborah|Norland|PREU|CURR|12:45PM|02:15PM|T|
EDUC-378-B|2||Content Area Read: Elem/Midl|Deborah|Norland|PREU|CURR|12:45PM|02:15PM|R|
EDUC-395-A|1|2|Independent Study|Debrah|Fordice|ARR|ARR||||
EDUC-395-B|1|4|Independent Study|Barbara|Bohach|ARR|ARR||||
EDUC-395-C|1|4|Independent Study|Jeannette|Pillsbury|ARR|ARR||||
EDUC-462-A|4||Gen Music Ed:Elem/Middle Sch|Andrew|Ellingsen|CART|217|06:00PM|09:00PM|M|
EDUC-462L-A|0||Gen Mus Ed Lab|Andrew|Ellingsen|ARR|ARR|12:45PM|02:15PM|T|
EDUC-486-A|12||Teaching Practicum|Debrah|Fordice|ARR|ARR||||
EDUC-490-A|1|4|Senior Project|Debrah|Fordice|ARR|ARR||||
EDUC-493-A|4||Senior Honors Project|Jeannette|Pillsbury|ARR|ARR||||
ENG-110-A|2||Intro to College Writing|Rachel|Faldet|VALD|254|11:00AM|11:45AM|TR|
ENG-130-A|4||Lit Vent:Lit and Medicine|Nancy|Simpson-Younger|MAIN|212|12:45PM|02:15PM|TR|
ENG-147-A|4||Lit of the African Peoples|Novian|Whitsitt|KORE|120|11:00AM|12:00PM|MWF|
ENG-210-A|4||Effective Writing|Rachel|Faldet|MAIN|112|08:00AM|09:30AM|TR|
ENG-211-A|4||Writing for Media|David|Faldet|MAIN|114|11:00AM|12:00PM|MWF|
ENG-212-A|4||Creat Writ:Poetry & Fiction I|Amy|Weldon|OLIN|206|11:00AM|12:30PM|TR|
ENG-230-A|4||The Writer's Voice|Lindsey|Row-Heyveld|MAIN|112|02:30PM|04:00PM|TR|
ENG-230-B|4||The Writer's Voice|Clara|Boyle|VALD|371|09:15AM|10:15AM|MWF|
ENG-231-A|4||Film|Andrew|Hageman|MAIN|113|01:30PM|02:30PM|MWF|
ENG-245-A|4||Literature By Women|Nancy|Simpson-Younger|MAIN|211|12:15PM|01:15PM|MWF|
ENG-247-A|4||Literature and Ecology|Clara|Boyle|OLIN|208|11:00AM|12:30PM|TR|
ENG-260-A|4||Shakespeare|Lindsey|Row-Heyveld|VALD|254|11:00AM|12:00PM|MWF|
