Fall 2014 courses|||||||||||
|||||||||||
Section Name|Min Cred|Max Cred|Short Title|Faculty First Name|Faculty Last Names (all faculty)|Building|Room|Start Time|End Time|Days|7 Wks
CHEM-490L-01|2||Senior Project Lab|Carolyn|Mottley,Hedstrom|ARR|ARR||||
CHIN-101-A|4||Chinese I|Hongmei|Yu|MAIN|218|11:00AM|12:00PM|MWF|
CHIN-201-A|4||Intermediate Chinese|Hongmei|Yu|MAIN|218|01:30PM|02:30PM|MWF|
CLAS-250-A|4||The World of Ancient Greece|Danny|Davis|MAIN|113|06:00PM|09:00PM|M|
CLAS-360-A|4||The World of St. Patrick|Philip|Freeman|OLIN|102|11:00AM|12:00PM|MWF|
CLAS-389-A|1|4|Directed Research|Danny|Davis|ARR|ARR||||
CLAS-490-A|4||Senior Project|Philip|Freeman,Davis|ARR|ARR||||
COMS-130-A|4||Interpersonal Communication|Sarah|Wilder|KORE|120|12:15PM|01:15PM|MWF|
COMS-130-B|4||Interpersonal Communication|Sarah|Wilder|KORE|120|01:30PM|02:30PM|MWF|
COMS-132-A|4||Public Address|Derek|Sweet|MAIN|116B|02:30PM|04:00PM|TR|
COMS-132-B|4||Public Address|Derek|Sweet|MAIN|116B|02:45PM|03:45PM|MWF|
COMS-133-A|4||Mass Media|Mark|Johns|VALD|252|09:15AM|10:15AM|MWF|
COMS-133-B|4||Mass Media|Mark|Johns|VALD|252|11:00AM|12:00PM|MWF|
COMS-255-A|4||Advanced Public Address|Derek|Sweet|MAIN|116B|01:30PM|02:30PM|MWF|
COMS-258-A|4||Concepts of Media Production|Thomas|Johnson|PREU|100|02:30PM|04:00PM|TR|
COMS-270-A|4||Rethinking Freedoms|Mark|Johns|MAIN|116B|11:00AM|12:30PM|TR|
COMS-335-A|4||Masculinity in Film|Thomas|Johnson|VALD|252|06:00PM|09:00PM|M|
COMS-362-A|4||Communication Theories|Sarah|Wilder|MAIN|116B|09:15AM|10:15AM|MWF|
COMS-490-A|2||Senior Project|Mark|Johns,Johnson,Sweet,Wilder,Powell|ARR|ARR||||
CS-130-A|2||Fund of Web Programming|Bradley|Miller|OLIN|202|11:00AM|12:00PM|MWF|First 7 weeks
CS-130-B|2||Fund of Web Programming|Bradley|Miller|OLIN|202|02:45PM|03:45PM|MWF|Second 7 weeks
CS-150-A|4||Intro to Computer Sci I|David|Ranum|OLIN|202|08:00AM|09:00AM|MWF|
CS-150-B|4||Intro to Computer Sci I|David|Ranum|OLIN|202|09:15AM|10:15AM|MWF|
CS-151-A|4||Intro to Comp Sci II|Kent|Lee|OLIN|202|12:15PM|01:15PM|MWF|
CS-151-B|4||Intro to Comp Sci II|Kent|Lee|OLIN|202|01:30PM|02:30PM|MWF|
CS-200-A|4||Software & Design Development|David|Ranum|OLIN|202|11:00AM|12:30PM|TR|
CS-220-A|4||Discrete Structures|Eric|Westlund|OLIN|112|01:30PM|02:30PM|MWF|
CS-341-A|4||Computer Networks|Bradley|Miller|OLIN|112|12:15PM|01:15PM|MWF|
CS-351-A|4||Adv Data Struct & Algorithms|Steven|Hubbard|OLIN|112|09:15AM|10:15AM|MWF|
CS-365-A|4||Internet Programming|Bradley|Miller|OLIN|202|08:00AM|09:30AM|TR|
CS-395-A|1|4|Independent Study|David|Ranum|ARR|ARR||||
CS-490-A|2||Senior Project|Kent|Lee|OLIN|112|02:30PM|04:00PM|TR|
DAN-100-A|0||Prod Prac:Thread in the Dark|Milo|Dintaman,Lantz|ARR|ARR||||
DAN-100-B|0||Prod Prac: In the Next Room|Robert|Vrtis,Lantz,Dintaman|ARR|ARR||||
DAN-100-C|0||Prod Prac: Body of Water|Jane|Hawley|ARR|ARR|02:30PM|04:00PM|MW|
DAN-101-A|4||Dance Tech Analysis|Jane|Hawley|CART|121|11:00AM|12:30PM|TR|
DAN-130-A|4||Contact Improvisation|Blake|Nellis|CART|121|12:45PM|02:15PM|TR|
DAN-306-A|4||Intermedia Arts|||CART|210|11:00AM|12:00PM|MWF|
||||||CART|118|11:00AM|12:00PM|MWF|
DAN-360-A|4||Dance Composition|Jane|Hawley|CART|121|11:00AM|12:00PM|MWF|
DAN-490-A|2||Senior Seminar|Jane|Hawley|CART|117|01:30PM|02:30PM|MW|
ECON-130-A|4||Principles of Economics|Steven|Holland|OLIN|107|08:00AM|09:00AM|MWF|
ECON-130-B|4||Principles of Economics|Charles|Gomersall|OLIN|107|09:15AM|10:15AM|MWF|
ECON-130-C|4||Principles of Economics|Charles|Gomersall|OLIN|107|11:00AM|12:00PM|MWF|
ECON-130-D|4||Principles of Economics|Wade|Shilts|OLIN|107|01:30PM|02:30PM|MWF|
ECON-130-E|4||Principles of Economics|Wade|Shilts|OLIN|107|02:45PM|03:45PM|MWF|
ECON-247-A|4||Interm Economic Theory:Macro|Charles|Gomersall|OLIN|101|01:30PM|02:30PM|MWF|
ECON-256-A|4||Economic History|Wade|Shilts|OLIN|206|11:00AM|12:30PM|TR|
ECON-262-A|4||Development Economics|Steven|Holland|OLIN|101|12:45PM|02:15PM|TR|
ECON-380-A|1|3|Internship|Steven|Holland|ARR|ARR||||
EDUC-220-A|4||Educational Psychology|||KORE|216|01:30PM|02:30PM|MWF|
EDUC-220-B|4||Educational Psychology|||KORE|216|08:00AM|09:30AM|TR|
EDUC-220-C|4||Educational Psychology|||KORE|216|12:45PM|02:15PM|TR|
EDUC-221-B|4||Diverse & Exceptional Learner|Odette|Bruneau|KORE|216|11:00AM|12:30PM|TR|
EDUC-221-C|4||Diverse & Exceptional Learner|Jodi|Meyer-Mork|KORE|217|01:30PM|02:30PM|MWF|
EDUC-223-A|2||Children's Literature|Deborah|Norland|PREU|CURR|02:30PM|04:30PM|T|
EDUC-232-A|2||Music Educ Curr & Strategies|Michael|Wilson|KORE|117|02:30PM|04:00PM|R|
EDUC-240-A|2||Home School Community|Odette|Bruneau|KORE|216|02:30PM|04:00PM|TR|First 7 weeks
EDUC-242-A|4||Learning Dis/Behavioral Issues|Odette|Bruneau|KORE|117|01:30PM|02:30PM|MWF|
EDUC-245-A|2||Career/Vocational Assessment|Odette|Bruneau|KORE|216|02:30PM|04:00PM|TR|Second 7 weeks
EDUC-252-A|2||Intro Middle/HS 5-12 Methods|||LARS|120|02:30PM|04:00PM|T|
EDUC-255-A|2||Percussion Methods|Michael|Geary|JENS|SPER|12:45PM|02:15PM|T|
EDUC-260-A|2||Brass Methods|Michael|Smith,Shaffer,Cord|JENS|SPER|01:30PM|02:30PM|MWF|
EDUC-265-A|2||Double Reeds Methods|Heather|Armstrong|JENS|SPER|11:00AM|11:40AM|TR|
EDUC-270-A|2||String Methods|Eric|Kutz,Erdahl,Travers|JENS|ORCH|01:30PM|02:30PM|MWF|
EDUC-275-A|2||Flute, Clarinet and Saxophone|Michael|Chesher,Hester|JENS|ORCH|11:00AM|12:00PM|MWF|
EDUC-278-A|2||Content Area Read, Midl/Second|Deborah|Norland|PREU|CURR|02:30PM|04:00PM|R|
EDUC-320-A|4||Introduction to Reading|Barbara|Bohach|PREU|CURR|11:00AM|12:30PM|TR|
EDUC-325-A|4||Mathematics Methods|Jeannette|Pillsbury|KORE|120|08:00AM|09:00AM|MWF|
EDUC-325-B|4||Mathematics Methods|Jeannette|Pillsbury|KORE|120|09:15AM|10:15AM|MWF|
EDUC-326-A|4||Language Art Methods|Barbara|Bohach|KORE|216|11:00AM|12:00PM|MWF|
EDUC-326-B|4||Language Art Methods|Barbara|Bohach|KORE|216|12:15PM|01:15PM|MWF|
EDUC-330-A|4||Early Childhood Education|Jodi|Meyer-Mork|KORE|117|08:00AM|09:30AM|TR|
EDUC-332-A|4||The Middle School Learner|Emily|Neal|ARR|ARR|08:00AM|09:30AM|TR|
EDUC-352-A|2||Adv Mid/HS SocSt Methods 5-12|||KORE|218|06:30PM|08:00PM|M|
EDUC-352-A|2||Adv Mid/HS Math Methods 5-12|Joyce|Becker|OLIN|108|06:30PM|08:00PM|M|
EDUC-352-A|2||Adv Mid/Hs Eng Methods 5-12|Kristin|Peterson|KORE|216|06:30PM|08:00PM|M|
EDUC-352-A|2||Adv Mid/Hs Sci Methods 5-12|Birgitta|Meade|VALD|379|06:30PM|08:00PM|M|
EDUC-353-A|2||World Language Methods K-12|Elizabeth|Steding|KORE|120|06:30PM|08:00PM|M|
EDUC-360-A|4||Foundations of Music Education|Billy|Fordice|ARR|ARR||||
EDUC-376-A|2||Adv Literacy:Assess/Inst Des|Jodi|Meyer-Mork|KORE|117|11:00AM|12:30PM|R|
EDUC-378-A|1||Teach Read Cont Area: Pract|Deborah|Norland|ARR|ARR||||
EDUC-378-A|2||Content Area Read: Elem/Midl|Deborah|Norland|PREU|CURR|12:45PM|02:15PM|R|
EDUC-378-B|2||Content Area Read: Elem/Midl|Deborah|Norland|PREU|CURR|12:45PM|02:15PM|T|
EDUC-460-A|2||Middle and HS Vocal Methods|Jennaya|Robison|CART|217|02:30PM|04:00PM|T|
EDUC-460-B|2||Middle and HS Vocal Methods|Jennaya|Robison|CART|217|02:30PM|04:00PM|R|
EDUC-462-A|4||Gen Music Ed:Elem/Middle Sch|Michael|Wilson|CART|217|08:00AM|09:30AM|TR|
EDUC-462-B|4||Gen Music Ed:Elem/Middle Sch|Andrew|Ellingsen|CART|217|06:00PM|09:00PM|M|
EDUC-462L-A|0||Gen Music Ed Lab|Michael|Wilson|CART|217|12:45PM|02:15PM|TT|
||||||ARR|ARR|12:45PM|02:15PM||
EDUC-462L-B|0||Gen Music Ed Lab|Andrew|Ellingsen|CART|217|12:45PM|02:15PM|TT|
||||||ARR|ARR|12:45PM|02:15PM||
EDUC-464-A|4||Mid and HS Band Methods|Juan|Guzman|JENS|SPER|08:00AM|09:00AM|MWF|
||||||JENS|SPER|06:00PM|08:00PM|M|
EDUC-466-A|4||Middle and HS Choral Methods|Allen|Hightower|JENS|CHOIR|11:00AM|12:00PM|MWF|
EDUC-466-B|4||Middle and HS Choral Methods|||CART|217|08:00AM|09:00AM|MWF|
EDUC-468-A|4||Mid and Hs Orchestra Methods|Juan|Guzman|JENS|ORCH|11:00AM|12:30PM|TR|
EDUC-486-A|12||Teaching Practicum|||ARR|ARR||||
EDUC-490-A|1||Senior Project|||ARR|ARR||||
ENG-110-A|2||Intro to College Writing|Kristin|Peterson|OLIN|106|12:45PM|01:30PM|TR|
ENG-110-B|2||Intro to College Writing|Kristin|Peterson|OLIN|106|01:35PM|02:20PM|TR|
ENG-114-A|2||Intro to U.S. Academic Writ|Rachel|Faldet|OLIN|105|11:00AM|12:30PM|TR|
ENG-114-B|2||Intro to U.S. Academic Writ|Rachel|Faldet|OLIN|105|12:45PM|02:15PM|TR|
ENG-130-A|4||Lit Vent: Love, Sex, and Poli|Nicholas|Preus|LARS|120|09:15AM|10:15AM|MWF|
ENG-130-A|4||Lit Vent:Detective Fiction|Nancy|Simpson-Younger|MAIN|116B|12:45PM|02:15PM|TR|
ENG-212-A|4||Creative Writing|Amy|Weldon|MAIN|112|11:00AM|12:30PM|TR|
ENG-213-A|4||Creative Writing: Nonfiction|Rachel|Faldet|OLIN|105|02:30PM|04:00PM|TR|
ENG-230-A|4||The Writer's Voice|Nancy|Barry|MAIN|113|12:45PM|02:15PM|TR|
ENG-231-A|4||Film|Andrew|Hageman|MAIN|113|02:30PM|04:00PM|TR|
ENG-239-A|1||Teaching Writing:Theory & Pra|Martin|Klammer|MAIN|212|07:00PM|09:00PM|M|
ENG-251-A|4||African-American Literature|Novian|Whitsitt|LARS|120|11:00AM|12:00PM|MWF|
